Name,Description
1. Thaai Kizhavi,"Pavunuthayi is a fiercely independent, intimidating elderly woman in a rural village, known for being tough, ruthless, and blunt-especially as a moneylender whose strict enforcement of dues makes her feared by locals."
2. Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
3. 96,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
4. Jai Bhim,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
5. Raatchasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
6. With Love,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer."
7. Sirai,"A cop escorts a prisoner during a transfer from Vellore prison to Sivagangai court, leading to unexpected interactions between them."
8. TTT: Thalaivar Thambi Thalaimaiyil,"A village official attending a wedding becomes entangled in an escalating family dispute over power and old resentments, testing his leadership as he tries to contain the situation."
9. Meiyazhagan,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
10. Tourist Family,A quirky Sri Lankan family seeking a fresh start in India transforms a disconnected neighborhood into a vibrant community with their infectious love and kindness.
11. Coolie,A mysterious man takes a stand against a corrupt syndicate exploiting and abusing the workers of a port town.
12. Made in Korea,"After her boyfriend's betrayal leaves her alone in Seoul, Shenba faces isolation and cultural differences. Through personal growth and new friendships, she finds strength and lasting connections."
13. Jockey,"Rural action rooted in Madurai culture goat fighting tradition it blends fierce rivalries, raw emotions, trained animals, and authentic performances to capture the vibrant pulse of Tamil culture."
14. Kaantha,"In 1950s Madras, tension between a legendary director, an egotistical leading man, and a young starlet lead to murder on the film set."
15. Hotspot 2 Much,"An aspiring Director, who pitches her three different stories, that depict some pressing ideological and social issues in the society, to a producer with whom she also has an hidden agenda."
16. Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
17. Parking,An elderly man and a youngster who are tenants sharing two different floors of an individual house fight over a parking space.
18. Mahaan,"Gandhi Mahaan, a school teacher, is abandoned by his family after he decides to live a life of his own, with personal freedom."
19. Dude,"Childhood friends Agan and Kural are inseparable. When Kural encounters romantic troubles, Agan must balance his hidden feelings for her with his desire to ensure her happiness."
20. Hot Spot,It features three stories that are humorously evocative and a fourth one that's deeply disturbing.
21. Vikram,A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.
22. Soorarai Pottru,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks"
23. Madharasi,"Reeling from a breakup, a man with a tragic past becomes involved in an operation to stop the mass distribution of weapons."
24. Por Thozhil,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
25. Vaa Vaathiyaar,"A fanatic fan of legendary actor MGR raises his grandson like a reincarnation of MGR. But does he grow like MGR? What happens when he grows differently, which is in conflict with the ideals of his grandfather?"
