Name,Year,Stars,Description
1. Thaai Kizhavi,N/A,,"Pavunuthayi is a fiercely independent, intimidating elderly woman in a rural village, known for being tough, ruthless, and blunt-especially as a moneylender whose strict enforcement of dues makes her feared by locals."
2. Maharaja,N/A,,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
3. 96,N/A,,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
4. Jai Bhim,N/A,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
5. Raatchasan,N/A,,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
6. With Love,N/A,,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer."
7. Sirai,N/A,,"A cop escorts a prisoner during a transfer from Vellore prison to Sivagangai court, leading to unexpected interactions between them."
8. TTT: Thalaivar Thambi Thalaimaiyil,N/A,,"A village official attending a wedding becomes entangled in an escalating family dispute over power and old resentments, testing his leadership as he tries to contain the situation."
9. Meiyazhagan,N/A,,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
10. Tourist Family,N/A,,A quirky Sri Lankan family seeking a fresh start in India transforms a disconnected neighborhood into a vibrant community with their infectious love and kindness.
11. Coolie,N/A,,A mysterious man takes a stand against a corrupt syndicate exploiting and abusing the workers of a port town.
12. Made in Korea,N/A,,"After her boyfriend's betrayal leaves her alone in Seoul, Shenba faces isolation and cultural differences. Through personal growth and new friendships, she finds strength and lasting connections."
13. Jockey,N/A,,"Rural action rooted in Madurai culture goat fighting tradition it blends fierce rivalries, raw emotions, trained animals, and authentic performances to capture the vibrant pulse of Tamil culture."
14. Kaantha,N/A,,"In 1950s Madras, tension between a legendary director, an egotistical leading man, and a young starlet lead to murder on the film set."
15. Hotspot 2 Much,N/A,,"An aspiring Director, who pitches her three different stories, that depict some pressing ideological and social issues in the society, to a producer with whom she also has an hidden agenda."
16. Kaithi,N/A,,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
17. Parking,N/A,,An elderly man and a youngster who are tenants sharing two different floors of an individual house fight over a parking space.
18. Mahaan,N/A,,"Gandhi Mahaan, a school teacher, is abandoned by his family after he decides to live a life of his own, with personal freedom."
19. Dude,N/A,,"Childhood friends Agan and Kural are inseparable. When Kural encounters romantic troubles, Agan must balance his hidden feelings for her with his desire to ensure her happiness."
20. Hot Spot,N/A,,It features three stories that are humorously evocative and a fourth one that's deeply disturbing.
21. Vikram,N/A,,A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.
22. Soorarai Pottru,N/A,,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks"
23. Madharasi,N/A,,"Reeling from a breakup, a man with a tragic past becomes involved in an operation to stop the mass distribution of weapons."
24. Por Thozhil,N/A,,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
25. Vaa Vaathiyaar,N/A,,"A fanatic fan of legendary actor MGR raises his grandson like a reincarnation of MGR. But does he grow like MGR? What happens when he grows differently, which is in conflict with the ideals of his grandfather?"
26. 3BHK,N/A,,A middle-class family battles financial hurdles and personal setbacks while pursuing their dream of owning a home in the bustling city.
27. Sweety Naughty Crazy,N/A,,"A bold romantic comedy about Shiva, a charming college student juggling three different relationships. As he tries to keep them secret, love, lust, and chaos collide in a playful mix of adult humor, romance, and comedy."
28. Leo,N/A,,Parthiban is a mild-mannered cafe owner who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.
29. Flashback,N/A,,A young boy is shown to be attracted to an older woman.
30. Nayakan,N/A,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
31. Sabdham,N/A,,A paranormal investigator is employed by a university to look into a series of mysterious deaths that some are attributing to supernatural causes.
32. Super Deluxe,N/A,,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day."
33. Bison: Kaalamaadan,N/A,,A young man fights to overcome violence plaguing his village and succeed as a professional kabaddi player.
34. Vada Chennai,N/A,,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
35. Kadaisi Vivasayi,N/A,,The last active farmer in a remote village tries to hold out against a property developer.
36. Others,N/A,,"A detective investigates alarming health issues in IVF babies, revealing a dark plot involving illegal steroids, mystery donors, and corrupt fertility clinics - all orchestrated by someone exploiting people's desire for children."
37. Aaryan,N/A,,"A struggling writer announces he'll commit the perfect crime, sparking a tense pursuit as police try to prevent his methodically planned killing spree."
38. Jana Nayagan,N/A,,"Ideological enemies-one populist, one authoritarian-meet again when a child's fear awakens old conflicts, pulling an ex-cop into a struggle beyond vengeance."
39. Good Bad Ugly,N/A,,"After several years in prison, a former gangster seeks a quiet life with his family. But when his son winds up in jail, he must return to his old ways."
40. Sarpatta Parambarai,N/A,,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?"
41. Asuran,N/A,,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
42. Vikram Vedha,N/A,,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
43. Parasakthi,N/A,,"Based on true events, the film revolves around the Anti-Hindi Imposition agitations in Tamil Nadu that happened in 1965."
44. Thuppakki,N/A,,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
45. Thittam Irandu,N/A,,A cop starts investigating the mysterious disappearance of her childhood friend. Can she handle the revelation that lies at the end of her inquiry?
46. Retro,N/A,,"Raised by a criminal father, Paari leaves behind his adoptive family to build a quiet life with his love, Rukmini. But his violent past won't let him go."
47. Stephen,N/A,,"Delves into the mind of a confessed killer being evaluated by a psychiatrist on a chilling case. The psychiatrist soon finds herself entangled in a mind-twisting mystery, which begins as an evaluation but leads to eternal darkness"
48. Aaromaley,N/A,,"A romantic dreamer faces reality when forced to work at a matchmaking agency under a practical boss. After learning love needs effort, he loses his chance. Years later, fate offers another opportunity."
49. Anbe Sivam,N/A,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
50. Amaran,N/A,,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
51. Anniyan,N/A,,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements."
52. Seyon,N/A,,A veteran soldier turned activist arrives at a station during the Maasi Kalari Festival. Villagers revere him as a living god at the Virumandi Temple in Karumathur.
53. Master,N/A,,"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities."
54. Dada,N/A,,"A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life."
55. Dragon,N/A,,"After a devastating breakup, troubled student Ragavan abandons his studies and enters the dangerous world of financial fraud, pursuing wealth and power while becoming entangled in escalating deception."
56. Aaranya Kaandam,N/A,,A mob boss must deal with a disgruntled mistress and a vanishing bag of cocaine.
57. Aazhi,N/A,,"In Nagercoil, a devoted father struggles when he learns of his daughter's relationship. A solitary sea journey becomes a moment of reflection, where love, responsibility, and acceptance quietly reshape their family bonds."
58. Maareesan,N/A,,"In an unusual situation , Velayudham sets out on a journey with Dhaya from Nagercoil to Tiruvannamalai-a journey that will alter both their lives in ways they never imagined. What unfolds becomes the heart of the story."
59. Maargan,N/A,,"Cop Dhruv from Mumbai police hunts a serial killer targeting young girls with a burning drug. While investigating their suspect, the police discover they're facing someone far more dangerous than expected."
60. Vaaranam Aayiram,N/A,,"A father and son help each other through growing up, romance, tragedy, and adventure."
61. Saani Kaayidham,N/A,,"A generational curse, comes true in a senseless act of injustice to Ponni and her family. Driven to seek vengeance by Sangaiya, with whom she shares a bitter past."
62. Ponniyin Selvan: Part I,N/A,,"Vandiyathevan crosses the Chola land to deliver a message from the Crown Prince Aditha Karikalan, while Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne."
